country_code,country_name,indicator_name,indicator_code,year,value,source_url,fetch_ts
EGY,"Egypt, Arab Rep.",GDP_PC,NY.GDP.PCAP.CD,2003,1031.27556291284,https://api.worldbank.org/v2/country/EGY/indicator/NY.GDP.PCAP.CD?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.194919
EGY,"Egypt, Arab Rep.",GDP_PC,NY.GDP.PCAP.CD,2002,1116.82884626213,https://api.worldbank.org/v2/country/EGY/indicator/NY.GDP.PCAP.CD?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.194929
EGY,"Egypt, Arab Rep.",GDP_PC,NY.GDP.PCAP.CD,2001,1295.1374184163,https://api.worldbank.org/v2/country/EGY/indicator/NY.GDP.PCAP.CD?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.194940
EGY,"Egypt, Arab Rep.",GDP_PC,NY.GDP.PCAP.CD,2000,1366.09274372613,https://api.worldbank.org/v2/country/EGY/indicator/NY.GDP.PCAP.CD?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.194950
EGY,"Egypt, Arab Rep.",INFLATION,FP.CPI.TOTL.ZG,2023,33.8847763115546,https://api.worldbank.org/v2/country/EGY/indicator/FP.CPI.TOTL.ZG?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.227149
EGY,"Egypt, Arab Rep.",INFLATION,FP.CPI.TOTL.ZG,2022,13.8956609775177,https://api.worldbank.org/v2/country/EGY/indicator/FP.CPI.TOTL.ZG?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.227205
EGY,"Egypt, Arab Rep.",INFLATION,FP.CPI.TOTL.ZG,2021,5.21404940513042,https://api.worldbank.org/v2/country/EGY/indicator/FP.CPI.TOTL.ZG?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.227219
EGY,"Egypt, Arab Rep.",INFLATION,FP.CPI.TOTL.ZG,2020,5.04493288977538,https://api.worldbank.org/v2/country/EGY/indicator/FP.CPI.TOTL.ZG?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.227235
EGY,"Egypt, Arab Rep.",INFLATION,FP.CPI.TOTL.ZG,2019,9.15279959324803,https://api.worldbank.org/v2/country/EGY/indicator/FP.CPI.TOTL.ZG?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.227245
EGY,"Egypt, Arab Rep.",INFLATION,FP.CPI.TOTL.ZG,2018,14.4014657807421,https://api.worldbank.org/v2/country/EGY/indicator/FP.CPI.TOTL.ZG?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.227255
EGY,"Egypt, Arab Rep.",INFLATION,FP.CPI.TOTL.ZG,2017,29.5066083940038,https://api.worldbank.org/v2/country/EGY/indicator/FP.CPI.TOTL.ZG?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.227266
EGY,"Egypt, Arab Rep.",INFLATION,FP.CPI.TOTL.ZG,2016,13.8136062148289,https://api.worldbank.org/v2/country/EGY/indicator/FP.CPI.TOTL.ZG?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.227276
EGY,"Egypt, Arab Rep.",INFLATION,FP.CPI.TOTL.ZG,2015,10.370490343517,https://api.worldbank.org/v2/country/EGY/indicator/FP.CPI.TOTL.ZG?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.227287
